REPLACE0,REPLACE1,REPLACE2,REPLACE3,Type,REPLACE4,REPLACE5,REPLACE6,REPLACE7,REPLACE8,REPLACE9,REPLACE10,REPLACE11,REPLACE12,REPLACE13,REPLACE14,REPLACE15,REPLACE16,REPLACE17,REPLACE18
LegandExp_198,ODP,Site_1207,Hole_1207B,B,Lithastrinus_septenarius_Base_Depth,Lithastrinus septenarius Base Depth,Records223_Lithastrinus_septenarius,None,16-CC,17-CC,None,301.5,296.7,306.3,91.78,2.7534,91.78,None,Neptune
LegandExp_198,ODP,Site_1207,Hole_1207B,B,Lithastrinus_septenarius_Base_Depth,Lithastrinus septenarius Base Depth,Records224_Lithastrinus_septenarius,None,None,17R-CC,mbsf,301.7,296.96,306.5,88.8,None,None,None,odp\Initial Reports\198_IR\IR198_03\table5.xlsx
LegandExp_207,ODP,Site_1257,Hole_1257A,T,Lithastrinus_septenarius_Top_Depth,Lithastrinus septenarius Top Depth,Records225_Lithastrinus_septenarius,None,"21X-CC,25",None,mbsf,179.575,179,180.15,84.7,None,None,None,odp\Initial Reports\207_IR\IR207_04\Table T3.xlsx
LegandExp_207,ODP,Site_1257,Hole_1257B,T,Lithastrinus_septenarius_Top_Depth,Lithastrinus septenarius Top Depth,Records226_Lithastrinus_septenarius,None,"20R-CC,21",None,mbsf,188.445,186.66,190.23,84.7,None,None,None,odp\Initial Reports\207_IR\IR207_04\Table T3.xlsx
LegandExp_207,ODP,Site_1257,Hole_1257B,B,Lithastrinus_septenarius_Base_Depth,Lithastrinus septenarius Base Depth,Records227_Lithastrinus_septenarius,None,"22R-CC,19-21",None,mbsf,202.95,201.29,204.61,88.8,None,None,None,odp\Initial Reports\207_IR\IR207_04\Table T3.xlsx
LegandExp_171B,DSDP,Site_1050,Hole_1050C,T,Lithastrinus_septenarius_Top_Depth,Lithastrinus septenarius Top Depth,Records228_Lithastrinus_septenarius,None,"171_1050C,20-2,103","171_1050C,20-2,103",None,493.13,493.13,493.13,85.56,None,None,None,NeptuneSB
LegandExp_369,IODP2,Site_None,Hole_U1512A,T,Lithastrinus_septenarius_Top_Depth,Lithastrinus septenarius Top Depth,Records229_Lithastrinus_septenarius,"12R-CC,14-19",None,None,CSF-A(m),109.05,103.74,114.36,85.56/86.01,None,None,None,IODP_Proceedings_
LegandExp_369,IODP2,Site_None,Hole_U1513A,T,Lithastrinus_septenarius_Top_Depth,Lithastrinus septenarius Top Depth,Records230_Lithastrinus_septenarius,"17X-CC,37-42",None,None,CSF-A(m),100.395,103.97,96.82,85.56,None,None,None,IODP_Proceedings_
LegandExp_207,ODP,Site_1257,Hole_1257B,T,Arkhangelskiella_cymbiformis_Top_Depth,Arkhangelskiella cymbiformis Top Depth,Records231_Arkhangelskiella_cymbiformis,None,"12R-7,44",None,mbsf,145.48,145.31,145.65,65,None,None,None,odp\Initial Reports\207_IR\IR207_04\Table T3.xlsx
LegandExp_207,ODP,Site_1257,Hole_1257C,T,Arkhangelskiella_cymbiformis_Top_Depth,Arkhangelskiella cymbiformis Top Depth,Records232_Arkhangelskiella_cymbiformis,None,"7R-5,47",None,mbsf,145.435,145.4,145.47,65,None,None,None,odp\Initial Reports\207_IR\IR207_04\Table T3.xlsx
